picklist_011,picklist_012,picklist_013,picklist_014,picklist_015,picklist_021,picklist_022,picklist_023,picklist_024,picklist_025,picklist_031,picklist_032,picklist_033,picklist_034,picklist_035,picklist_041,picklist_042,picklist_043,picklist_044,picklist_045,picklist_051,picklist_052,picklist_053,picklist_054,picklist_055,picklist_061,picklist_062,picklist_063,picklist_064,picklist_065,picklist_071,picklist_072,picklist_073,picklist_074,picklist_075,picklist_081,picklist_082,picklist_083,picklist_084,picklist_085,picklist_091,picklist_092,picklist_093,picklist_094,picklist_095,picklist_101,picklist_102,picklist_103,picklist_104,picklist_105,picklist_111,picklist_112,picklist_113,picklist_114,picklist_115,picklist_121,picklist_122,picklist_123,picklist_124,picklist_125,picklist_131,picklist_132,picklist_133,picklist_134,picklist_135,picklist_141,picklist_142,picklist_143,picklist_144,picklist_145,picklist_151,picklist_152,picklist_153,picklist_154,picklist_155,picklist_161,picklist_162,picklist_163,picklist_164,picklist_165,picklist_171,picklist_172,picklist_173,picklist_174,picklist_175,picklist_181,picklist_182,picklist_183,picklist_184,picklist_185,picklist_191,picklist_192,picklist_193,picklist_194,picklist_195,picklist_201,picklist_202,picklist_203,picklist_204,picklist_205,picklist_211,picklist_212,picklist_213,picklist_214,picklist_215,picklist_221,picklist_222,picklist_223,picklist_224,picklist_225,picklist_231,picklist_232,picklist_233,picklist_234,picklist_235,picklist_241,picklist_242,picklist_243,picklist_244,picklist_245,picklist_251,picklist_252,picklist_253,picklist_254,picklist_255,picklist_261,picklist_262,picklist_263,picklist_264,picklist_265,picklist_271,picklist_272,picklist_273,picklist_274,picklist_275,picklist_281,picklist_282,picklist_283,picklist_284,picklist_285,picklist_291,picklist_292,picklist_293,picklist_294,picklist_295,picklist_301,picklist_302,picklist_303,picklist_304,picklist_305,picklist_311,picklist_312,picklist_313,picklist_314,picklist_315,picklist_321,picklist_322,picklist_323,picklist_324,picklist_325,picklist_331,picklist_332,picklist_333,picklist_334,picklist_335,picklist_341,picklist_342,picklist_343,picklist_344,picklist_345,picklist_351,picklist_352,picklist_353,picklist_354,picklist_355,picklist_361,picklist_362,picklist_363,picklist_364,picklist_365,picklist_371,picklist_372,picklist_373,picklist_374,picklist_375,picklist_381,picklist_382,picklist_383,picklist_384,picklist_385,picklist_391,picklist_392,picklist_393,picklist_394,picklist_395,picklist_401,picklist_402,picklist_403,picklist_404,picklist_405,picklist_411,picklist_412,picklist_413,picklist_414,picklist_415,picklist_421,picklist_422,picklist_423,picklist_424,picklist_425,picklist_431,picklist_432,picklist_433,picklist_434,picklist_435,picklist_441,picklist_442,picklist_443,picklist_444,picklist_445,picklist_451,picklist_452,picklist_453,picklist_454,picklist_455,picklist_461,picklist_462,picklist_463,picklist_464,picklist_465,picklist_471,picklist_472,picklist_473,picklist_474,picklist_475,picklist_481,picklist_482,picklist_483,picklist_484,picklist_485,picklist_491,picklist_492,picklist_493,picklist_494,picklist_495,picklist_501,picklist_502,picklist_503,picklist_504,picklist_505,picklist_511,picklist_512,picklist_513,picklist_514,picklist_515,picklist_521,picklist_522,picklist_523,picklist_524,picklist_525,picklist_531,picklist_532,picklist_533,picklist_534,picklist_535,picklist_541,picklist_542,picklist_543,picklist_544,picklist_545,picklist_551,picklist_552,picklist_553,picklist_554,picklist_555,picklist_561,picklist_562,picklist_563,picklist_564,picklist_565,picklist_571,picklist_572,picklist_573,picklist_574,picklist_575,picklist_581,picklist_582,picklist_583,picklist_584,picklist_585,picklist_591,picklist_592,picklist_593,picklist_594,picklist_595,picklist_601,picklist_602,picklist_603,picklist_604,picklist_605
c12,d14,e31,f23,g23,c22,d12,e21,f13,g13,c13,d25,e12,f21,g32,c13,d14,e16,f11,g16,c26,d13,e25,f13,g26,c25,d12,e12,f14,g22,c23,d11,e22,f16,g32,c12,d25,e21,f31,g14,c13,d11,e15,f15,g23,c11,d15,e25,f11,g16,c11,d14,e26,f21,g36,c11,d11,e31,f11,g11,c31,d12,e12,f11,g11,c11,d23,e14,f43,g11,c24,d34,e12,f23,g11,c14,d11,e13,f42,g22,c22,d12,e16,f13,g12,c14,d21,e25,f13,g11,c26,d12,e11,f23,g22,c13,d34,e31,f12,g16,c21,d14,e21,f15,g24,c15,d13,e23,f31,g33,c12,d22,e13,f13,g21,c26,d15,e14,f11,g12,c11,d13,e13,f26,g41,c21,d41,e11,f12,g11,c22,d14,e12,f31,g25,c15,d14,e11,f11,g11,c15,d16,e13,f11,g32,c26,d24,e21,f14,g12,c32,d12,e16,f34,g23,c14,d11,e14,f25,g23,c16,d33,e13,f11,g24,c32,d13,e32,f11,g32,c11,d16,e14,f21,g31,c16,d13,e16,f12,g11,c21,d16,e22,f16,g26,c16,d24,e13,f35,g16,c16,d13,e15,f25,g36,c33,d34,e21,f26,g41,c21,d21,e12,f16,g14,c13,d11,e11,f13,g14,c13,d22,e13,f12,g23,c11,d11,e13,f13,g22,c15,d14,e14,f15,g14,c16,d15,e14,f12,g14,c26,d14,e11,f12,g11,c12,d16,e22,f14,g15,c12,d15,e11,f14,g14,c11,d32,e24,f12,g16,c15,d36,e15,f12,g15,c11,d21,e13,f11,g26,c22,d16,e16,f22,g11,c26,d42,e23,f15,g13,c11,d11,e11,f14,g11,c14,d12,e32,f11,g33,c16,d14,e13,f31,g14,c22,d25,e15,f13,g14,c21,d13,e14,f21,g15,c11,d13,e11,f12,g11
c22,d15,e46,f32,g31,c24,d22,e22,f14,g32,c15,d34,e22,f33,g41,c42,d16,e21,f12,g22,c31,d23,e43,f34,g45,c26,d15,e33,f21,g25,c25,d12,e23,f26,g34,c44,d34,e26,f33,g24,c16,d21,e34,f22,g26,c31,d26,e32,f21,g34,c25,d15,e33,f32,g44,c34,d35,e34,f14,g14,c32,d24,e13,f16,g12,c31,d26,e16,f46,g12,c31,d42,e21,f25,g12,c34,d22,e14,f46,g23,c35,d23,e32,f16,g26,c24,d24,e32,f14,g25,c41,d13,e12,f32,g34,c21,d41,e36,f15,g25,c31,d22,e22,f21,g36,c22,d14,e25,f43,g35,c32,d23,e21,f42,g16,c36,d43,e21,f15,g14,c14,d15,e43,f43,g44,c22,d42,e12,f46,g13,c33,d23,e36,f35,g35,c36,d25,e13,f23,g13,c44,d24,e23,f15,g35,c32,d43,e32,f32,g21,c33,d24,e31,f35,g25,c22,d13,e22,f32,g44,c21,d35,e41,f13,g26,c41,d14,e41,f24,g45,c33,d24,e22,f22,g34,c21,d32,e43,f15,g22,c24,d23,e35,f22,g35,c25,d43,e36,f36,g32,c23,d24,e34,f41,g44,c34,d43,e31,f32,g43,c41,d22,e13,f35,g21,c14,d24,e23,f15,g15,c23,d25,e15,f13,g44,c43,d23,e22,f25,g23,c43,d23,e22,f16,g22,c24,d42,e21,f21,g32,c33,d15,e13,f43,g22,c35,d46,e46,f45,g22,c43,d16,e13,f16,g32,c15,d34,e32,f15,g23,c33,d41,e25,f13,g24,c44,d22,e21,f21,g36,c33,d33,e32,f25,g15,c45,d44,e26,f21,g32,c42,d22,e34,f21,g16,c21,d13,e41,f14,g42,c22,d24,e26,f34,g25,c25,d33,e23,f15,g24,c43,d16,e21,f44,g33,c24,d14,e26,f43,g21
c33,d24,e31,f41,g46,c41,d35,e43,f35,g42,c44,d36,e24,f24,g32,c12,d35,e31,f22,g31,c35,d41,e46,f24,g22,c12,d26,e34,f22,g33,c36,d43,e33,f22,g42,c12,d11,e45,f41,g36,c21,d24,e41,f23,g23,c24,d22,e43,f26,g44,c35,d42,e25,f32,g14,c42,d36,e35,f16,g31,c46,d33,e14,f34,g16,c32,d14,e31,f12,g35,c34,d24,e31,f26,g31,c46,d36,e33,f13,g25,c44,d16,e22,f36,g31,c31,d35,e33,f35,g25,c23,d11,e23,f21,g36,c26,d15,e32,f36,g34,c33,d32,e23,f34,g41,c26,d42,e31,f44,g41,c12,d41,e22,f35,g23,c31,d13,e31,f24,g16,c45,d12,e44,f44,g22,c31,d11,e14,f22,g42,c36,d11,e41,f36,g43,c42,d35,e15,f32,g22,c15,d33,e25,f16,g36,c35,d12,e46,f33,g24,c36,d31,e32,f11,g36,c34,d15,e31,f35,g11,c32,d36,e11,f16,g35,c11,d26,e45,f33,g12,c35,d13,e31,f24,g42,c33,d42,e11,f31,g23,c25,d13,e42,f41,g16,c26,d12,e46,f16,g34,c36,d33,e36,f46,g12,c44,d46,e45,f46,g15,c42,d25,e24,f46,g24,c24,d13,e24,f33,g26,c43,d16,e11,f14,g11,c13,d32,e34,f31,g33,c44,d32,e11,f23,g23,c45,d11,e31,f36,g14,c34,d26,e13,f44,g41,c11,d21,e32,f12,g25,c16,d25,e12,f23,g34,c24,d11,e33,f24,g26,c36,d33,e46,f41,g31,c12,d23,e22,f16,g42,c31,d12,e42,f33,g43,c23,d34,e33,f21,g16,c14,d26,e44,f34,g34,c22,d32,e42,f25,g45,c34,d43,e31,f35,g35,c31,d43,e24,f36,g31,c44,d32,e35,f16,g45,c42,d12,e35,f46,g33
c36,d34,e33,f12,g12,c12,d23,e16,f12,g45,c46,d44,e15,f32,g35,c16,d36,e32,f46,g13,c36,d11,e14,f36,g26,c21,d31,e42,f35,g16,c41,d44,e46,f34,g44,c15,d44,e11,f45,g16,c33,d12,e34,f24,g25,c31,d33,e45,f41,g25,c41,d43,e34,f35,g22,c14,d41,e46,f36,g32,c16,d11,e25,f45,g36,c42,d21,e36,f33,g43,c35,d33,e41,f34,g35,c25,d43,e11,f21,g32,c45,d22,e32,f12,g42,c32,d45,e16,f14,g32,c24,d13,e46,f26,g41,c32,d24,e35,f42,g44,c11,d11,e32,f35,g13,c44,d11,e41,f13,g45,c14,d13,e25,f36,g43,c12,d26,e33,f14,g33,c21,d13,e46,f46,g46,c23,d21,e23,f35,g44,c25,d16,e42,f11,g44,c44,d44,e24,f41,g36,c33,d11,e45,f23,g13,c36,d14,e14,f34,g26,c25,d34,e45,f46,g43,c43,d26,e43,f36,g35,c41,d11,e15,f41,g12,c13,d13,e23,f45,g26,c13,d16,e14,f43,g44,c41,d22,e15,f34,g24,c31,d21,e43,f45,g26,c31,d15,e11,f31,g21,c46,d46,e42,f11,g13,c46,d12,e41,f16,g26,c44,d33,e32,f41,g36,c12,d33,e34,f11,g36,c15,d22,e24,f23,g35,c16,d45,e35,f32,g13,c15,d41,e16,f25,g44,c14,d15,e32,f43,g22,c35,d33,e16,f14,g42,c13,d42,e34,f22,g41,c25,d43,e13,f34,g42,c42,d16,e11,f45,g35,c21,d46,e21,f44,g41,c15,d24,e25,f25,g24,c41,d16,e11,f14,g46,c24,d41,e44,f25,g36,c16,d34,e21,f13,g26,c35,d11,e44,f34,g26,c35,d12,e36,f25,g25,c32,d46,e33,f42,g32,c11,d33,e21,f34,g11,c46,d15,e12,f23,g34
c44,d42,e34,f14,g22,c13,d26,e31,f15,g12,c14,d15,e24,f42,g36,c34,d23,e14,f36,g22,c24,d23,e15,f41,g32,c25,d45,e21,f43,g42,c11,d21,e11,f13,g15,c25,d14,e12,f46,g25,c43,d13,e43,f24,g33,c36,d23,e21,f11,g33,c44,d16,e41,f42,g34,c41,d46,e15,f41,g36,c42,d21,e26,f46,g12,c35,d11,e14,f13,g12,c12,d35,e43,f15,g13,c26,d46,e23,f22,g41,c23,d25,e33,f13,g45,c41,d14,e21,f15,g11,c32,d45,e22,f45,g44,c44,d32,e45,f16,g12,c31,d21,e44,f46,g22,c45,d15,e42,f16,g12,c31,d21,e32,f44,g13,c43,d31,e42,f31,g41,c25,d15,e11,f13,g12,c32,d33,e22,f22,g22,c32,d42,e16,f16,g22,c15,d45,e45,f43,g44,c34,d45,e16,f36,g16,c44,d36,e34,f23,g31,c36,d36,e16,f11,g14,c25,d43,e45,f14,g43,c16,d16,e42,f31,g13,c16,d33,e33,f46,g33,c21,d22,e32,f45,g45,c24,d26,e22,f41,g12,c44,d22,e44,f16,g31,c23,d22,e14,f36,g32,c13,d11,e44,f13,g46,c13,d26,e34,f31,g25,c46,d36,e42,f15,g14,c15,d44,e16,f16,g31,c22,d45,e42,f31,g41,c41,d46,e21,f35,g16,c33,d43,e24,f31,g46,c21,d32,e13,f16,g34,c44,d31,e15,f21,g11,c15,d35,e12,f25,g46,c21,d15,e14,f43,g15,c15,d34,e15,f15,g36,c25,d16,e24,f13,g43,c43,d35,e32,f36,g45,c23,d22,e25,f23,g41,c33,d31,e31,f23,g46,c32,d16,e36,f14,g23,c36,d42,e45,f44,g35,c16,d24,e23,f34,g41,c13,d13,e45,f43,g41,c13,d41,e42,f16,g15,c13,d21,e15,f24,g14
c22,d25,e43,f15,g32,c15,d31,e24,f36,g25,c16,d33,e35,f44,g42,c43,d31,e31,f44,g32,c32,d25,e24,f45,g34,c34,d26,e32,f22,g11,c25,d31,e15,f22,g43,c31,d24,e15,f11,g24,c24,d22,e14,f32,g36,c45,d24,e33,f21,g41,c21,d26,e43,f44,g42,c13,d11,e16,f12,g15,c23,d24,e15,f15,g32,c21,d14,e16,f21,g15,c26,d41,e11,f35,g16,c31,d13,e33,f41,g13,c36,d36,e43,f21,g11,c12,d32,e26,f23,g12,c11,d25,e34,f24,g16,c14,d33,e16,f22,g15,c25,d31,e13,f14,g23,c21,d16,e11,f22,g25,c46,d36,e35,f21,g16,c14,d34,e15,f14,g12,c31,d21,e15,f35,g16,c15,d43,e32,f23,g26,c42,d14,e32,f43,g35,c16,d23,e12,f23,g13,c35,d15,e32,f43,g32,c12,d45,e35,f43,g12,c14,d16,e42,f12,g15,c34,d15,e11,f23,g11,c24,d24,e45,f35,g46,c35,d35,e44,f16,g42,c26,d24,e34,f12,g12,c25,d23,e44,f11,g23,c12,d32,e11,f23,g42,c45,d41,e24,f42,g35,c24,d31,e12,f16,g22,c32,d35,e23,f36,g33,c14,d11,e13,f24,g21,c26,d15,e33,f33,g11,c42,d11,e44,f13,g43,c43,d22,e22,f21,g34,c34,d32,e26,f21,g14,c41,d33,e16,f32,g35,c13,d42,e24,f32,g46,c31,d36,e16,f31,g25,c15,d45,e21,f22,g22,c21,d35,e16,f21,g46,c31,d31,e26,f15,g14,c46,d24,e11,f22,g46,c32,d36,e26,f43,g44,c21,d32,e46,f26,g13,c41,d36,e31,f44,g33,c13,d43,e11,f15,g43,c31,d32,e36,f22,g42,c16,d22,e16,f13,g14,c25,d35,e11,f46,g22,c14,d34,e21,f25,g32
c25,d43,e16,f21,g11,c11,d26,e31,f43,g31,c36,d41,e42,f23,g43,c32,d44,e11,f15,g34,c42,d36,e31,f12,g36,c11,d35,e44,f34,g33,c36,d11,e24,f42,g46,c12,d34,e24,f12,g22,c25,d46,e15,f44,g12,c15,d25,e41,f26,g42,c24,d33,e13,f22,g43,c25,d41,e21,f13,g23,c46,d35,e16,f25,g41,c22,d34,e13,f36,g42,c21,d12,e14,f32,g26,c44,d16,e42,f43,g16,c15,d42,e12,f33,g14,c42,d45,e31,f31,g15,c22,d26,e46,f26,g36,c46,d33,e41,f23,g36,c34,d34,e21,f22,g35,c22,d22,e13,f25,g36,c12,d44,e41,f25,g22,c16,d36,e16,f15,g14,c14,d22,e26,f35,g26,c22,d22,e33,f26,g32,c46,d15,e35,f45,g12,c26,d33,e15,f32,g14,c14,d22,e35,f11,g46,c24,d12,e23,f45,g13,c45,d36,e44,f13,g22,c36,d21,e13,f25,g25,c32,d34,e32,f31,g32,c36,d44,e46,f41,g22,c12,d43,e41,f23,g13,c26,d24,e14,f26,g35,c26,,e16,f24,g44,c12,d42,e26,f11,g15,c33,d34,e22,f35,g41,c36,d41,e25,f44,,c16,d21,e34,f33,g32,c11,d34,e44,f35,g26,c15,d14,e22,f31,g15,c21,d43,e23,f46,g35,c43,d44,e45,f23,g16,c12,d46,e24,f45,g46,c14,d14,e34,f42,g12,c33,d43,e34,f45,g34,c25,d13,e16,f32,g43,c31,,e22,f42,g21,c26,,e34,f26,g22,c15,d44,e43,f43,g22,c34,d41,e34,f45,g12,c45,d35,e13,f31,g32,c16,d41,e44,f13,g42,c31,d45,e31,f23,g34,c32,d34,e41,f33,g44,c33,d23,e31,f36,g16,c41,d36,e25,,g24,c22,d41,e26,f35,g41
c26,d45,e21,f31,g12,c22,d34,,f44,g36,c15,d42,e22,f46,g12,c34,d26,e13,f21,g36,c23,d45,e41,f36,g12,c12,d31,e11,f36,g35,c41,d14,e12,f13,g16,c14,d32,e36,f14,g23,c33,d11,e16,f35,g32,c21,d32,e43,f31,g11,c11,d11,e16,f25,g36,c33,d15,e45,f25,g31,,d36,e23,f42,g16,c34,d44,e24,,g12,c23,d14,e15,f36,g33,c45,d24,e44,f14,g13,c46,d11,e26,,g24,c43,d21,e34,f36,g35,c45,,e33,,g21,c26,d43,e45,f26,,c36,d35,e26,f32,g36,c34,d46,e23,f41,g42,c13,d46,e31,f32,g26,c23,d11,e25,f21,g33,c21,d12,e31,f41,g32,c32,d23,e42,f35,g44,c12,d31,e42,f12,g33,c11,d31,e33,f33,g16,c16,d31,e43,f23,g16,c33,d15,e33,f46,g46,,d32,e45,f42,g32,c26,d22,e22,f33,g36,c12,d44,e45,f34,g33,c11,d21,e22,f25,g24,c32,d12,e45,f25,g15,c34,d43,e15,f33,g15,c13,,e24,f33,g25,c21,d11,e12,f25,g16,c43,d43,e31,f13,,c13,,,f14,,c31,d42,e35,f43,g14,c23,d35,e45,f22,g35,c46,,e31,f43,g31,c22,d12,e24,f23,g45,c45,d25,e35,f42,g21,c25,d13,e25,f23,g16,c16,d35,e44,f11,g15,c12,d44,e36,f14,g36,c32,d34,e35,f36,g12,c34,,e33,f31,g24,c31,,e36,f32,g24,c16,d45,e31,f12,g23,c35,d25,e22,f22,g35,,d44,e26,f34,g35,c21,d13,,f32,g44,c42,d42,e13,f25,g44,c45,d46,e16,f36,g46,c44,d15,e34,f45,g25,c42,d42,e26,,g44,c26,d43,e34,f45,g42
c31,d15,e22,f42,g24,c34,,,f33,g44,c23,d21,e24,,g14,c41,d32,e26,f33,g23,c24,d12,e11,,g14,c13,d44,e13,f41,g43,c42,d45,e25,f33,g34,c22,d43,e21,f21,g41,c13,d12,e34,f36,g42,c26,d12,e44,f44,g32,c34,d15,e24,f31,g41,c42,d32,e46,f31,g34,,d25,e32,f13,g23,c45,,e25,,g25,c33,d15,e32,f43,g24,c16,d33,e13,f25,g23,,d31,e44,,g34,c44,d24,e13,f24,,,,e35,,g22,c32,d45,e46,f35,,c13,d11,e36,f36,g41,c35,d21,e31,f14,g21,c16,d43,e34,f42,g44,c26,d13,e34,f32,g35,c24,d15,e41,f43,g42,,d45,e16,f45,g46,c14,d32,e22,f15,g35,c13,d33,e14,f44,g22,c33,d45,e21,,g41,c36,,e35,f34,g25,,d44,e13,f44,g33,c35,d33,e35,f23,g43,c14,d11,,,g35,c16,d23,e25,f31,,c41,d16,e26,f26,,c44,d45,e22,f21,g42,c32,,e25,f21,g42,c34,d14,e14,f31,g24,c21,d34,e12,f26,,c14,,,f31,,c46,d11,e23,,g42,c31,d43,e25,f24,g12,,,e34,f45,g33,c33,d23,e15,f25,g16,c46,d32,e44,f43,g33,c31,d22,e16,f42,g26,c21,d36,e45,f22,g36,c35,d45,e43,f26,g35,,,e46,f43,g16,c36,,e44,f35,g32,c35,,,f45,g26,c25,d46,e46,f32,g41,c36,d42,e25,f24,g36,,d46,e34,,g36,c36,d31,,,g22,c43,d43,e23,f26,g45,c46,d16,e26,f45,g13,,d21,e43,f46,g36,c16,d12,e36,,g25,c43,d46,e15,f16,g44
c45,d22,e42,,g33,c41,,,f35,,,d22,e33,,g23,,d33,e41,f43,g32,c26,d13,e21,,g16,c33,d13,e44,f46,g46,c16,,e32,,g35,c26,,e33,f24,,c26,d15,e35,f44,,c32,d32,e11,f13,g43,c41,d16,e32,f41,,c44,d45,e11,f32,g45,,d36,e42,f21,g41,c46,,e42,,g32,,d32,e34,,g33,c22,d43,e45,,g25,,d36,,,g11,c25,d31,e23,f26,,,,e42,,g24,c33,,,f23,,c31,d15,e14,f43,g46,c42,d36,e41,f31,g24,,d44,e35,f44,g11,,,e41,f46,g41,c43,d21,e16,,,,d46,e22,,g16,c36,d36,e43,f31,g42,c21,,e16,f12,g23,c34,,e24,,g42,c46,,e41,f21,g42,,d46,e15,,g15,c31,d35,e45,f24,g44,c33,d25,,,g43,c33,d36,e26,,,,d21,e46,f46,,c31,,e24,f24,,c43,,e34,f22,,c35,d22,e34,f34,g26,c26,d35,e13,f33,,c25,,,f33,,c13,d23,e43,,,,,e32,f26,g15,,,e35,f11,g42,c41,d35,e24,,g33,,,,f44,g41,c33,d35,e31,f43,,c32,d44,,f32,g45,c41,,,f31,g46,,,,f44,g23,c16,,e45,f36,g33,c36,,,f11,g31,c31,d11,,f41,,,d46,e42,f25,g46,,,e41,,g41,,,,,g46,c16,,,f11,,c32,d21,e33,,g22,,d41,e22,f11,g11,c42,d34,e43,,g36,c16,,e16,f24,g23
